time,vibration,souns,
7/28/2023 15:27,0.187116353,0.207620215,1
7/28/2023 15:27,-0.003760279,-0.01458647,1
7/28/2023 15:27,-0.159762582,-0.158402296,1
7/28/2023 15:27,-0.161645211,-0.242707658,1
7/28/2023 15:27,0.006018424,-0.227968769,1
7/28/2023 15:27,-0.070151886,-0.055825583,1
7/28/2023 15:27,0.087050669,0.034421351,1
7/28/2023 15:27,0.128974194,0.087056374,1
7/28/2023 15:27,-0.231089236,0.110159481,1
7/28/2023 15:27,-0.249434205,0.092876137,1
7/28/2023 15:27,-0.044276402,0.13067753,1
7/28/2023 15:27,-0.018212045,0.193490371,1
7/28/2023 15:27,0.001668272,0.129215822,1
7/28/2023 15:27,0.138618859,0.015013117,1
7/28/2023 15:27,-0.064156719,-0.054918783,1
7/28/2023 15:27,-0.071193729,-0.096969957,1
7/28/2023 15:27,-0.099378328,-0.163125778,1
7/28/2023 15:27,0.04688792,-0.052455534,1
7/28/2023 15:27,0.161411462,0.086948099,1
7/28/2023 15:27,0.037218885,0.089560225,1
7/28/2023 15:27,-0.118192431,0.041391533,1
7/28/2023 15:27,-0.063803345,0.043259271,1
7/28/2023 15:27,-0.169687509,0.030848287,1
7/28/2023 15:27,-0.20456793,-0.027308743,1
7/28/2023 15:27,-0.050247199,-0.071917906,1
7/28/2023 15:27,0.026160725,-0.093099137,1
7/28/2023 15:27,-0.011997542,-0.154829232,1
7/28/2023 15:27,-0.059495841,-0.155736032,1
7/28/2023 15:27,0.033404886,-0.101761111,1
7/28/2023 15:27,0.061424983,-0.037987332,1
7/28/2023 15:27,0.151181903,0.045248818,1
7/28/2023 15:27,0.117678421,0.189781964,1
7/28/2023 15:27,0.116447705,0.177912353,1
7/28/2023 15:27,0.006079351,0.109983534,1
7/28/2023 15:28,-0.145390021,0.0806411,1
7/28/2023 15:28,-0.261156464,0.02114417,1
7/28/2023 15:28,-0.144597977,0.049823423,1
7/28/2023 15:28,-0.01902846,0.073901002,1
7/28/2023 15:28,0.002959914,0.029237702,1
7/28/2023 15:28,-0.05121593,0.012888227,1
7/28/2023 15:28,-0.03647781,0.003062301,1
7/28/2023 15:28,-0.06238985,-0.010201346,1
7/28/2023 15:28,0.00026087,-0.028107269,1
7/28/2023 15:28,0.088921113,0.001884814,1
7/28/2023 15:28,0.215483731,0.088626356,1
7/28/2023 15:28,0.171622744,0.152873837,1
7/28/2023 15:28,0.065098851,0.177073225,1
7/28/2023 15:28,-0.077731143,0.247465292,1
7/28/2023 15:28,-0.102662267,0.191690305,1
7/28/2023 15:28,-0.188781874,0.00227731,1
7/28/2023 15:28,-0.108882862,-0.200615881,1
7/28/2023 15:28,0.081713508,-0.342821122,1
7/28/2023 15:28,0.141110753,-0.374870423,1
7/28/2023 15:28,-0.07954066,-0.235480324,1
7/28/2023 15:28,-0.165038817,-0.034346596,1
7/28/2023 15:28,-0.155583024,0.156122077,1
7/28/2023 15:28,-0.137177129,0.242985428,1
7/28/2023 15:28,0.099187228,0.301413145,1
7/28/2023 15:28,0.128285724,0.250618792,1
7/28/2023 15:28,0.11997535,0.073711521,1
7/28/2023 15:28,-0.010943513,-0.097064697,1
7/28/2023 15:28,-0.212409171,-0.242667055,1
7/28/2023 15:28,-0.224375136,-0.330897374,1
7/28/2023 15:28,-0.207699553,-0.24936655,1
7/28/2023 15:28,0.117666235,-0.132240429,1
7/28/2023 15:28,0.039802168,0.042027647,1
7/28/2023 15:28,0.025502719,0.175381433,1
7/28/2023 15:28,-0.02735102,0.229207477,1
7/28/2023 15:28,-0.088972082,0.236069384,1
7/28/2023 15:28,-0.153322651,0.184124612,1
7/28/2023 15:28,-0.21907453,0.11037603,1
7/28/2023 15:28,-0.206950157,0.009612918,1
7/28/2023 15:28,0.056209675,-0.081094184,1
7/28/2023 15:28,0.007846219,-0.137315804,1
7/28/2023 15:28,-0.068543427,-0.183210729,1
7/28/2023 15:28,-0.106744342,-0.181586609,1
7/28/2023 15:28,-0.127745707,-0.129168136,1
7/28/2023 15:28,-0.117686741,-0.069603535,1
7/28/2023 15:28,-0.133058497,0.027911337,1
7/28/2023 15:28,0.07663833,0.128660914,1
7/28/2023 15:28,0.100911448,0.163308808,1
7/28/2023 15:28,-0.045488839,0.146972867,1
7/28/2023 15:28,-0.115992985,0.050757292,1
7/28/2023 15:28,-0.133320481,-0.027795979,1
7/28/2023 15:28,-0.04218053,-0.068385445,1
7/28/2023 15:28,0.058981831,-0.054959386,1
7/28/2023 15:28,0.091315524,-0.056069201,1
7/28/2023 15:28,0.056630068,-0.043170982,1
7/28/2023 15:28,0.033081975,-0.011960809,1
7/28/2023 15:28,-0.059995439,-0.023451458,1
7/28/2023 15:28,-0.123139663,-0.033602208,1
7/28/2023 15:28,-0.046061548,0.015879315,1
7/28/2023 15:28,0.125611051,0.127307481,1
7/28/2023 15:28,0.121498512,0.226690091,1
7/28/2023 15:29,0.048654789,0.235812231,1
7/28/2023 15:29,-0.003151014,0.135265669,1
7/28/2023 15:29,-0.064418703,0.0012487,1
7/28/2023 15:29,-0.173678195,-0.126488338,1
7/28/2023 15:29,-0.117467406,-0.19748945,1
7/28/2023 15:29,0.102062959,-0.168904938,1
7/28/2023 15:29,0.156080394,-0.090906575,1
7/28/2023 15:29,0.027860574,0.021807353,1
7/28/2023 15:29,-0.091878276,0.085445788,1
7/28/2023 15:29,-0.050880834,0.151222648,1
7/28/2023 15:29,-0.059739547,0.116940182,1
7/28/2023 15:29,0.012025777,0.082170479,1
7/28/2023 15:29,0.084205402,0.064278091,1
7/28/2023 15:29,0.055125183,-0.016197055,1
7/28/2023 15:29,-0.127002403,-0.105929685,1
7/28/2023 15:29,-0.173641639,-0.139968534,1
7/28/2023 15:29,-0.055895085,-0.114104423,1
7/28/2023 15:29,-0.159287356,-0.107134241,1
7/28/2023 15:29,0.052456602,-0.067438041,1
7/28/2023 15:29,0.001978997,0.079910246,1
7/28/2023 15:29,-0.00550887,0.090277545,1
7/28/2023 15:29,-0.045714267,0.103284039,1
7/28/2023 15:29,0.130265836,0.126779642,1
7/28/2023 15:29,0.087349209,0.114991238,1
7/28/2023 15:29,-0.044684609,0.042311868,1
7/28/2023 15:29,-0.063206265,0.035152205,1
7/28/2023 15:29,0.055777097,0.007866989,1
7/28/2023 15:29,0.078466125,-0.046771114,1
7/28/2023 15:29,-0.007616927,-0.032776614,1
7/28/2023 15:29,0.068437623,0.083185554,1
7/28/2023 15:29,0.093807418,0.153970118,1
7/28/2023 15:29,-0.058594129,0.165555507,1
7/28/2023 15:29,-0.064705057,0.160480132,1
7/28/2023 15:29,0.046595473,0.145632968,1
7/28/2023 15:29,0.005920942,0.116006313,1
7/28/2023 15:29,-0.001713149,0.028939946,1
7/28/2023 15:29,0.062046434,-0.123889746,1
7/28/2023 15:29,0.110385519,-0.285570892,1
7/28/2023 15:29,-0.034485513,-0.407339289,1
7/28/2023 15:29,-0.163802009,-0.315359959,1
7/28/2023 15:29,-0.120196913,-0.110301275,1
7/28/2023 15:29,0.035720093,0.107926316,1
7/28/2023 15:29,0.089146541,0.268998417,1
7/28/2023 15:29,-0.083768959,0.363725216,1
7/28/2023 15:29,0.102331035,0.340649177,1
7/28/2023 15:29,0.177520429,0.125317934,1
7/28/2023 15:29,-0.105318662,-0.111397556,1
7/28/2023 15:29,-0.137567058,-0.109732833,1
7/28/2023 15:29,0.064075286,-0.127273329,1
7/28/2023 15:29,0.196249235,-0.218251118,1
7/28/2023 15:29,0.014627339,-0.190424528,1
7/28/2023 15:29,-0.058880484,-0.138127864,1
7/28/2023 15:29,0.188645608,-0.016738429,1
7/28/2023 15:29,0.095330581,0.094743875,1
7/28/2023 15:29,-0.239198553,0.209122526,1
7/28/2023 15:29,-0.147351854,0.397899407,1
7/28/2023 15:29,0.124404706,0.352803009,1
7/28/2023 15:29,0.002673559,0.180064312,1
7/28/2023 15:29,-0.081088193,0.072804721,1
7/28/2023 15:29,0.079099761,-0.024466533,1
7/28/2023 15:30,0.093350469,-0.080214452,1
7/28/2023 15:30,-0.176779354,-0.092124665,1
7/28/2023 15:30,-0.030080527,-0.070266717,1
7/28/2023 15:30,0.137473441,0.030604669,1
7/28/2023 15:30,0.055460279,-0.006127511,1
7/28/2023 15:30,-0.144987906,-0.006222252,1
7/28/2023 15:30,0.048411083,0.1180906,1
7/28/2023 15:30,0.042123468,0.079937314,1
7/28/2023 15:30,-0.208156501,0.022511138,1
7/28/2023 15:30,-0.129841578,0.084972086,1
7/28/2023 15:30,0.094288737,0.080803512,1
7/28/2023 15:30,0.219279452,-0.018768579,1
7/28/2023 15:30,0.038419137,-0.155451811,1
7/28/2023 15:30,-0.238692863,-0.17871733,1
7/28/2023 15:30,-0.053695639,-0.180124901,1
7/28/2023 15:30,-0.042095233,-0.174386343,1
7/28/2023 15:30,-0.177199747,-0.063242398,1
7/28/2023 15:30,0.018112334,0.109739916,1
7/28/2023 15:30,0.121468049,0.204020082,1
7/28/2023 15:30,-0.022933849,0.304133546,1
7/28/2023 15:30,-0.266292568,0.270541331,1
7/28/2023 15:30,0.000157295,0.088017311,1
7/28/2023 15:30,-0.00348611,-0.00534252,1
7/28/2023 15:30,0.028238319,-0.052590878,1
7/28/2023 15:30,0.042111283,-0.169771136,1
7/28/2023 15:30,-0.010188025,-0.185295016,1
7/28/2023 15:30,-0.210234095,-0.102194209,1
7/28/2023 15:30,-0.119520629,-0.033169109,1
7/28/2023 15:30,-0.150270234,-0.012163824,1
7/28/2023 15:30,-0.124687196,-0.001728853,1
7/28/2023 15:30,0.035841946,0.126847314,1
7/28/2023 15:30,0.08249946,0.183610308,1
7/28/2023 15:30,-0.035649209,0.11555968,1
7/28/2023 15:30,-0.11467088,0.065184891,1
7/28/2023 15:30,-0.169425525,0.003725483,1
7/28/2023 15:30,-0.032395734,-0.149848597,1
7/28/2023 15:30,0.194336143,-0.266907046,1
7/28/2023 15:30,0.255573368,-0.239973723,1
7/28/2023 15:30,0.10972142,-0.14004974,1
7/28/2023 15:30,-0.023853839,-0.07355556,1
7/28/2023 15:30,-0.12637486,-0.004016155,1
7/28/2023 15:30,-0.091415235,0.133343794,1
7/28/2023 15:30,0.003264546,0.189592483,1
7/28/2023 15:30,0.023705387,0.143995314,1
7/28/2023 15:30,0.028561229,0.158246967,1
7/28/2023 15:30,0.098803391,0.119633514,1
7/28/2023 15:30,-0.032724737,-0.027525292,1
7/28/2023 15:30,-0.12412058,-0.132632925,1
7/28/2023 15:30,-0.112477526,-0.076871472,1
7/28/2023 15:30,0.130076963,-0.00980885,1
7/28/2023 15:30,0.216190479,0.055602583,1
7/28/2023 15:30,0.047430166,0.066267638,1
7/28/2023 15:30,-0.160042844,0.051582886,1
7/28/2023 15:30,-0.050850371,-0.01265106,1
7/28/2023 15:30,-0.077712865,0.003725483,1
7/28/2023 15:30,-0.073722179,0.076025892,1
7/28/2023 15:30,0.069381984,0.153712965,1
7/28/2023 15:30,0.075797545,0.130190294,1
7/28/2023 15:30,0.039503629,0.091766322,1
7/28/2023 15:30,0.029012085,-0.082623563,1
7/28/2023 15:31,0.015358457,-0.187636456,1
7/28/2023 15:31,-0.037440448,-0.135014968,1
7/28/2023 15:31,-0.055724491,-0.093396893,1
